Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
1736,0.65,0.65
1737,1.064,1.0717290000000002
1738,7.6778,2.3209999999999997
1739,8.437644,2.465
1740,0.735925,0.735925
1741,3.795235,3.669104
1742,2.3252,2.112327
1743,0.670791,0.663409
1744,4.88587,4.5922410000000005
1745,1.988088,1.988088
1746,0.00225,0.00225
1747,2.8474,2.847
1748,0.057999999999999996,0.0585
1749,0.8909999999999999,0.8909999999999999
1750,0.03,0.03
1752,0.256,0.256
1753,0.038,0.04
1754,4.407,4.31
1755,4.407,4.308
1756,4.407,4.341
1757,4.407,4.407
1758,3.3034,3.3034
1759,3.3034,3.3034
1760,3.3034,3.3034
1761,3.3034,3.3034
1764,0.4,0.4
1765,300.6,300.6
1766,300.5,300.5
1767,2.7036,2.7036
1768,1.75,1.35
1769,16.374000000000002,9.885
1770,1071.255,382.801
1939,11.440999999999999,11.440999999999999
1940,11.440999999999999,11.440999999999999
1941,11.442,11.442
1942,11.440999999999999,11.440999999999999
1943,11.440999999999999,11.440999999999999
1944,5.6560000000000015,5.6560000000000015
1945,16.498,0.0
1946,23.764871,23.633144
1947,2.56082,2.446351
1948,0.922544,0.9057620000000001
1949,2.867141,2.833405
1950,0.498987,0.498987
1951,0.5,0.5
1952,1.7125,1.7125
1953,0.999167,0.9674889999999999
1954,2.495101,2.440861
1955,0.44,0.44
1956,27.728684,27.728684
1957,3.6211260000000003,4.154248
1958,3.186588,8.463203
1959,5.421781,5.3375330000000005
1960,3.212212,3.216402
1961,0.654,0.654
1962,0.395841,0.351662
1963,4.276033999999999,4.276033999999999
1964,0.335912,0.337898
1965,1.908266,1.8460830000000001
1966,1.415032,1.249517
1967,6.28632,6.28503
1968,12.672267999999999,13.059078999999999
1969,1.8111380000000001,6.777
1970,0.2218,0.2218
1971,0.1546,0.1546
1972,0.1546,0.1546
1973,0.18100000000000002,0.18100000000000002
1974,2.0681,2.0681
1975,0.1546,0.1546
1976,0.1546,0.1546
1977,0.1546,0.1546
1978,0.1546,0.1546
1979,0.1342,0.1342
1980,0.1546,0.1546
1981,0.9403739999999999,0.9403739999999999
1987,0.507256,0.503887
1988,0.29143,0.29143
1989,5.165584,5.079489
1990,4.503101,4.428159
1991,3.835079,3.835079
1992,1.7616990000000001,1.7616990000000001
1993,76.09074,76.09074
1997,12.144,14.866
1998,0.706,0.9209999999999999
1999,0.865,1.158
2000,1.39,1.074
2001,1.212,1.295
2002,0.95,1.246
2003,0.9440000000000001,0.669
2004,13.204,13.677
2005,2.4,2.755
2006,1.585,1.413
2010,3.905,4.521
2011,4.237,4.237
2012,6.05,5.914
2013,9.199,6.8370000000000015
2014,1.455,1.496
2015,0.35,0.344
2016,2.674,2.7439999999999998
2017,0.6,0.621
2018,0.6,0.64
2019,2.12,2.109
2020,0.94,0.93
2021,2.505,2.48
2022,1.0,0.98
2023,0.65,0.745
2024,2.5,1.614
2025,16.983,17.433
2026,6.0,6.0
2027,7.335,6.9270000000000005
2028,4.0,4.0
2029,2.41,2.474
2030,2.641,2.3
2031,2.678,2.427
2032,2.369,3.68
2033,2.412,2.388
2034,2.891,2.891
2035,2.02,3.03
2036,0.6,0.609
2037,2.063,2.063
2038,0.507,0.48200000000000004
2039,0.584,0.57
2040,0.316,0.33899999999999997
2041,2.085,3.591
2042,0.275,0.303
2043,1.635,2.352
2044,0.5820000000000001,0.81
2045,45.43,46.108000000000004
2046,17.594,17.742
2047,68.828,68.828
2048,35.722,35.722
2051,1.9,1.96
2052,1.075,1.075
2053,2.15,2.187
2054,0.7020000000000001,0.68
2055,0.899,0.935
2056,0.785,0.7759999999999999
2057,1.255,1.281
2058,1.515,1.5319999999999998
2059,0.826,0.831
2060,26.03,26.049
2061,53.04,53.037
2062,20.546,20.546
2063,23.98,23.978
2064,10.405999999999999,10.482999999999999
2065,26.85,26.85
2066,3.25,3.2560000000000002
2067,99.637,106.59200000000001
2068,0.2,0.1785
2069,0.8009999999999999,0.80075
2071,2.275,2.26
2072,1.814,1.814
2073,2.225,2.225
2074,6.318,6.318
2075,3.28,2.6430000000000002
2076,4.1,4.1
2077,1.26,6.2
2078,5.0,5.0
2079,4.4,4.4
2080,1.45,1.45
2081,0.15,39.545
2082,4.7,4.7
2083,1.4917799999999999,1.4917799999999999
2084,0.7755,0.7755
2085,1.59772,1.59772
2086,1.0,1.0
2087,0.075,0.075
2088,4.56,4.814
2089,0.26,0.315
2090,0.44,0.675
2091,0.12,0.12
2092,0.45399999999999996,0.10800000000000001
2093,0.93,0.93
2094,0.93,0.93
2095,0.39399999999999996,0.39399999999999996
2096,1.2,0.8059999999999999
2097,0.051,0.051
2098,0.253,0.253
2099,0.253,0.253
2100,0.575,0.7340000000000001
2101,1.6,1.865
2102,0.823,0.823
2103,0.332,0.332
2104,0.037000000000000005,0.005
2105,0.4970000000000001,0.151
2106,0.628,0.081
2107,0.027999999999999997,0.028999999999999998
2108,0.06,0.084
2109,0.08,0.087
2110,0.079,0.079
2111,0.364,0.33899999999999997
2112,0.20800000000000002,0.32899999999999996
2113,0.066,0.057
2114,0.096,0.016
2115,0.198,0.062
2116,0.147,0.479
2117,0.126,0.126
2118,0.12,0.12
2119,0.142,0.142
2120,0.09300000000000001,0.09300000000000001
2121,9.0,8.755
2122,8.175,2358.245
2123,3.75,3.737
